OBJECTID,ZIP_CODE,CRID_ID,TYPE,LOCALE_KEY,ZIP_CRID,CITY_STATE,STATE_ABBR,BUS_CNT,RES_CNT,CRID_IND,CRID_NBR,TOT_CNT,DROPSHIP_KEY,FACILITY_NAME,DS_KEY,FAC_NAME,LT_200_IND,MED_INCOME,MED_AGE,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_LT_19,AGE_55_64,AGE_65_74,AGE_GT_85,AGE_75_84,AVG_HH_SIZ,Shape_Length
1,48910,C028,C,018051,48910C028,"LANSING, MI",MI,2,421,C,028,423,Y12220,LANSING,Y12220,LANSING,N,50982,36,51,168,139,130,209,98,45,26,31,2.166927654897697,8198.409678097452
2,48910,C044,C,018051,48910C044,"LANSING, MI",MI,48,406,C,044,454,Y12220,LANSING,Y12220,LANSING,N,32515,36,85,183,128,139,246,119,49,20,49,2.184160240502805,11987.504887942949
3,48910,C015,C,018051,48910C015,"LANSING, MI",MI,25,403,C,015,428,Y12220,LANSING,Y12220,LANSING,N,48915,37,54,116,97,100,179,102,37,10,25,2.381597881515858,11817.114648389843
4,48910,C040,C,018051,48910C040,"LANSING, MI",MI,1,404,C,040,405,Y12220,LANSING,Y12220,LANSING,N,34598,38,89,178,195,187,329,174,93,16,52,2.3667019118202446,8633.29503201944
5,48910,C013,C,018051,48910C013,"LANSING, MI",MI,6,482,C,013,488,Y12220,LANSING,Y12220,LANSING,N,45578,36,42,156,120,109,197,109,44,13,21,2.182260674809486,9945.266957733333
6,48910,C016,C,018051,48910C016,"LANSING, MI",MI,5,520,C,016,525,Y12220,LANSING,Y12220,LANSING,N,50528,44,41,141,113,117,194,146,71,40,73,2.036974448691303,8830.413767946862
7,48910,C030,C,018051,48910C030,"LANSING, MI",MI,3,459,C,030,462,Y12220,LANSING,Y12220,LANSING,N,44517,39,42,120,127,113,227,92,70,20,49,2.3756947736391134,8261.707381138247
8,48910,C041,C,018051,48910C041,"LANSING, MI",MI,6,547,C,041,553,Y12220,LANSING,Y12220,LANSING,N,41290,32,163,308,162,184,415,170,83,17,50,2.2976713905063475,9850.413102153281
9,48910,C049,C,018051,48910C049,"LANSING, MI",MI,8,713,C,049,721,Y12220,LANSING,Y12220,LANSING,N,31109,36,82,172,140,152,248,111,67,10,46,2.154762972395834,9140.962474419273
10,48910,C087,C,018051,48910C087,"LANSING, MI",MI,31,416,C,087,447,Y12220,LANSING,Y12220,LANSING,N,36076,37,84,185,160,168,295,144,62,21,53,2.260143547688402,8567.397228619577
11,48910,C092,C,018051,48910C092,"LANSING, MI",MI,5,432,C,092,437,Y12220,LANSING,Y12220,LANSING,N,39284,35,52,142,113,108,198,86,38,12,29,2.297116875180129,9297.355462608086
12,48910,C031,C,018051,48910C031,"LANSING, MI",MI,39,531,C,031,570,Y12220,LANSING,Y12220,LANSING,N,27348,35,87,185,159,174,369,149,69,17,44,2.392544082260715,8967.911871044458
13,48910,C083,C,018051,48910C083,"LANSING, MI",MI,18,395,C,083,413,Y12220,LANSING,Y12220,LANSING,N,49726,39,37,141,103,101,160,117,48,20,31,2.084574230489232,8904.356638158579
14,48910,C082,C,018051,48910C082,"LANSING, MI",MI,18,336,C,082,354,Y12220,LANSING,Y12220,LANSING,N,49363,36,46,184,125,125,184,100,41,17,26,2.0892106226705423,9623.416028981628
15,48910,C007,C,018051,48910C007,"LANSING, MI",MI,112,497,C,007,609,Y12220,LANSING,Y12220,LANSING,N,33858,30,87,184,102,114,244,71,31,3,12,2.369865347647033,11247.988780384618
16,48910,C020,C,018051,48910C020,"LANSING, MI",MI,15,460,C,020,475,Y12220,LANSING,Y12220,LANSING,N,30784,33,121,203,104,112,267,103,49,13,30,2.2310044518997008,16282.989416819175
17,48910,C058,C,018051,48910C058,"LANSING, MI",MI,8,705,C,058,713,Y12220,LANSING,Y12220,LANSING,N,29988,27,567,484,126,98,291,73,26,8,15,1.9885925061451784,5390.96074221525
18,48910,C010,C,018051,48910C010,"LANSING, MI",MI,26,361,C,010,387,Y12220,LANSING,Y12220,LANSING,N,43010,34,69,173,134,130,251,99,43,10,23,2.3372005912616376,8753.60541645064
19,48910,C045,C,018051,48910C045,"LANSING, MI",MI,1,465,C,045,466,Y12220,LANSING,Y12220,LANSING,N,22405,35,56,141,103,126,235,109,50,10,41,2.3953735522383988,8911.874255060387
